"學年度","學校代碼","學校名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男","一年級女","二年級男","二年級女","三年級男","三年級女","四年級男","四年級女","五年級男","五年級女","六年級男","六年級女","七年級男","七年級女","延修生男","延修生女","縣市名稱","體系別"
112,0001,國立政治大學,D 日,D 博士,921,517,404,86,69,78,60,82,69,74,67,63,52,68,37,66,50,0,0,30 臺北市,1 一般
112,0001,國立政治大學,D 日,M 碩士,4231,1835,2396,598,809,631,791,354,460,249,335,2,1,1,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,N 職,M 碩士,1903,938,965,262,304,289,287,204,225,106,92,77,57,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,D 日,B 學士,9763,3928,5835,906,1349,871,1379,907,1341,928,1267,0,0,0,0,0,0,316,499,30 臺北市,1 一般
112,0002,國立清華大學,D 日,D 博士,1636,1131,505,206,93,202,83,204,93,154,70,140,60,110,50,115,56,0,0,18 新竹市,1 一般
112,0002,國立清華大學,D 日,M 碩士,5867,3526,2341,1336,886,1357,796,581,402,246,239,4,15,2,3,0,0,0,0,18 新竹市,1 一般
112,0002,國立清華大學,N 職,M 碩士,1413,509,904,198,278,176,274,63,132,35,91,25,84,4,17,8,28,0,0,18 新竹市,1 一般
112,0002,國立清華大學,D 日,B 學士,9274,5038,4236,1217,1019,1216,1030,1224,975,1085,991,0,0,0,0,0,0,296,221,18 新竹市,1 一般
112,0002,國立清華大學,D 日,X 4+X,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
112,0003,國立臺灣大學,D 日,D 博士,3654,2454,1200,431,215,402,206,432,223,389,190,309,128,179,106,312,132,0,0,30 臺北市,1 一般
112,0003,國立臺灣大學,D 日,M 碩士,11328,6742,4586,2598,1747,2505,1687,1075,707,564,445,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0003,國立臺灣大學,N 職,M 碩士,1577,948,629,309,229,300,219,160,82,70,38,45,32,64,29,0,0,0,0,30 臺北市,1 一般
112,0003,國立臺灣大學,D 日,B 學士,17323,9652,7671,2191,1706,2199,1783,2138,1663,1976,1649,175,144,172,93,0,0,801,633,30 臺北市,1 一般
112,0004,國立臺灣師範大學,D 日,D 博士,1337,630,707,106,127,109,111,110,106,74,106,85,83,59,85,87,89,0,0,30 臺北市,3 師範
112,0004,國立臺灣師範大學,D 日,M 碩士,4384,1878,2506,628,826,629,763,364,572,257,345,0,0,0,0,0,0,0,0,30 臺北市,3 師範
112,0004,國立臺灣師範大學,N 職,M 碩士,2272,680,1592,222,518,219,460,87,263,75,186,48,102,29,63,0,0,0,0,30 臺北市,3 師範
112,0004,國立臺灣師範大學,D 日,B 學士,8503,3846,4657,938,1110,900,1084,895,1073,809,1052,0,0,0,0,0,0,304,338,30 臺北市,3 師範
112,0005,國立成功大學,D 日,D 博士,1888,1228,660,219,136,199,102,221,123,196,110,176,84,107,57,110,48,0,0,21 臺南市,1 一般
112,0005,國立成功大學,D 日,M 碩士,7453,4739,2714,2009,1149,1931,1053,605,377,188,130,6,3,0,1,0,1,0,0,21 臺南市,1 一般
112,0005,國立成功大學,N 職,M 碩士,1582,932,650,279,240,274,212,209,122,106,44,63,32,0,0,1,0,0,0,21 臺南市,1 一般
112,0005,國立成功大學,D 日,B 學士,12159,7451,4708,1703,1165,1779,1105,1766,1064,1588,1029,112,84,62,34,0,0,441,227,21 臺南市,1 一般
112,0006,國立中興大學,D 日,D 博士,1000,652,348,96,59,101,56,108,65,99,40,84,43,70,33,94,52,0,0,19 臺中市,1 一般
112,0006,國立中興大學,D 日,M 碩士,3797,2242,1555,929,660,926,610,277,194,108,85,2,6,0,0,0,0,0,0,19 臺中市,1 一般
